Agent Name,Agent Address,Agent City,FY 21 Net Sales
STIX & STONES,800 BROCKTON AVENUE,ABINGTON,"$359,528.25 "
STOP & SHOP #054,375 CENTRE ST,ABINGTON,"$1,151,532.25 "
STOP N GAS,164 NORTH AVE,ABINGTON,"$894,019.00 "
TERRA NOSSA CENTER MARKET,1501 BEDFORD ST,ABINGTON,"$74,249.50 "
TIKI GARDEN INC,201 N QUINCY ST,ABINGTON,"$84,457.00 "
TRUCCHI'S MARKET #4,858 BEDFORD ST,ABINGTON,"$936,743.25 "
YOURS CONVENIENCE STORE,800 BROCKTON AVE,ABINGTON,"$2,174,978.25 "
7-ELEVEN 37454,75 GREAT RD,ACTON,"$1,645,482.50 "
ACTON CONVENIENCE,467 GREAT ROAD,ACTON,"$863,573.25 "
ACTON LIQUORS,100 POWDER MILL ROAD,ACTON,"$407,330.00 "
ACTON WINE & SPIRIT,305 MAIN ST,ACTON,"$207,638.00 "
COLONIAL SPIRITS,87 GREAT ROAD,ACTON,"$43,546.00 "
DONELANS OF ACTON,248 GREAT ROAD,ACTON,"$246,251.75 "
EAST ACTON MOBIL,44 GREAT RD,ACTON,"$694,033.00 "
KMART 7104,252 MAIN ST,ACTON,"$1,634.25 "
MAIN STREET EXPRESS,289 MAIN ST,ACTON,"$979,330.50 "
MAKAHA RESTAURANT,255 GREAT RD,ACTON,"$740,881.50 "
PRO TECH,421 MASS AVE,ACTON,"$900,762.25 "
PRO TECH GAS,332 GREAT ROAD,ACTON,"$256,590.00 "
RED WHITE AND BREW WINE,578 MASS AVE,ACTON,"$145,485.25 "
RITE AID 10097,100 POWDER MILL RD,ACTON,"$34,100.00 "
ROCHE BROS #112,387 MASS AVE,ACTON,"$269,598.50 "
STOP & SHOP #460,100 POWDER MILL RD,ACTON,"$476,354.75 "
THE HOLY GRAIL,166 GREAT ROAD,ACTON,"$373,294.75 "
TOWN LINE CONVENIENCE,37 MAIN ST,ACTON,"$954,732.25 "
WEST ACTON MOBIL,553 MASSACHUSETTS AVE,ACTON,"$962,129.50 "
BLUE LANTERN CAFE,605 MAIN ST,ACUSHNET,"$81,736.50 "
BONVILLE'S MARKET,142 SOUTH MAIN STREET,ACUSHNET,"$76,924.00 "
BONVILLE'S MARKET,142 SOUTH MAIN STREET,ACUSHNET,"$303,711.25 "
CHUCK'S LIQUORS II,172-174 SOUTH MAIN STREET,ACUSHNET,"$72,681.75 "
CHUCK'S LIQUORS II,172-174 S MAIN ST,ACUSHNET,"$305,896.25 "
CUMBERLAND #2233,176 SOUTH MAIN ST,ACUSHNET,"$910,591.25 "
JASON'S VARIETY,270 N MAIN ST,ACUSHNET,"$867,072.25 "
JT'S PUB,77 SLOCUM ST,ACUSHNET,"$8,359.50 "
JT'S PUB,77 SLOCUM STREET,ACUSHNET,"$311,604.00 "
PARTING WAYS SERVICE,121 MAIN ST,ACUSHNET,"$284,164.50 "
PONDEROSA,242 ROBINSON RD,ACUSHNET,"$166,852.00 "
RIVERS END CAFE,7 TARKILN HILL ROAD,ACUSHNET,"$226,961.00 "
SCUTTLEBUTTS,590 MAIN ST,ACUSHNET,"$498,428.25 "
THOMAS E TUTTLE POST 7239 VFW,28 ROOSEVELT ST,ACUSHNET,"$237,406.50 "
TOWN LIQUORS,1 MIDDLE RD,ACUSHNET,"$245,632.00 "
7-ELEVEN 32495-B,223 COLUMBIA ST,ADAMS,"$1,454,264.25 "
ADAMS TURNERS,6 TURNERS AVE,ADAMS,"$71,486.00 "
AJ'S TRAILSIDE PUB,12 PLEASANT STREET,ADAMS,"$592,586.50 "
BIG Y #25,MYRTLE ST,ADAMS,"$378,193.25 "
CHICKS LUNCH,128 COLUMBIA ST,ADAMS,"$213,289.00 "
CUMBERLAND #6690,46 COMMERCIAL ST,ADAMS,"$1,612,205.00 "
FOREST PARK COUNTRY CLUB,41 FOREST PARK AVE,ADAMS,"$47,240.00 "
MOBIL,160 HOWLAND AVENUE,ADAMS,"$981,931.50 "
OASIS LIQUOR STORE,35 SPRING STREET,ADAMS,"$149,041.50 "
OASIS LIQUOR STORE,35 SPRING ST,ADAMS,"$397,384.50 "
O'GEARY'S PACKAGE,60 COMMERCIAL ST,ADAMS,"$443,816.25 "
POLISH NATIONAL ALLIANCE,13 VICTORY ST,ADAMS,"$83,377.00 "
RACING MART,73 COLUMBIA STREET,ADAMS,"$637,200.75 "
RED CARPET RESTAURANT,69 PARK ST,ADAMS,"$236,721.00 "
RITE AID 10068,21 COLUMBIA ST,ADAMS,"$200,840.75 "
THE MOUNTAIN CLUB,6 ANTHONY STREET,ADAMS,"$350,858.50 "
THE VIKING PUB,83 COMMERCIAL ST,ADAMS,"$189,086.50 "
VAL'S PIPE & PACKAGE,5 COLUMBIA ST,ADAMS,"$1,178,902.50 "
VAL'S VARIETY1,5 COLUMBIA ST,ADAMS,"$12,349.00 "
AGAWAM SHELL #04047,634 MAIN ST,AGAWAM,"$1,383,996.25 "
BUCCANEERS LOUNGE,84-86 MAPLE ST,AGAWAM,"$872,397.50 "
CHEERS DISCOUNT,416 SPRINGFIELD ST,AGAWAM,"$272,144.00 "
CITGO FOOD MART,650 SUFFIELD STREET,AGAWAM,"$1,705,012.50 "
CUMBERLAND #0201,837 SUFFIELD ST,AGAWAM,"$798,267.00 "
EZ MART,1672 MAIN ST,AGAWAM,"$108,163.50 "
FERRENTINO PIZZARIA & PUB,1676 MAIN STREET,AGAWAM,"$327,285.50 "
GAYATRI FOOD MART,18 SPRINGFIELD STREET,AGAWAM,"$1,360,101.00 "
GEISSLER'S SUPERMARKET,830 SUFFIELD ST,AGAWAM,"$608,324.00 "
GOODIES CONVENIENCE,300 SPRINGFIELD ST,AGAWAM,"$1,001,379.75 "
KAPTAIN JIMMYS,916 SUFFIELD STREET,AGAWAM,"$305,887.50 "
MC CARTHYS LIQUORS,430 MAIN ST,AGAWAM,"$117,267.00 "
MICHAEL'S PASTA,395 RIVER ROAD,AGAWAM,"$23,032.00 "
MURPHY'S PUB,664 SUFFIELD STREET,AGAWAM,"$352,521.00 "
ONE STOP MART,308 SUFFIELD STREET,AGAWAM,"$1,033,961.75 "
PRIDE STATION & STORE,824 SUFFIELD ST,AGAWAM,"$1,333,068.75 "
QUICK PIC,1 RIVER RD,AGAWAM,"$1,037,885.50 "
RITE AID 10050,17 SPRINGFIELD ST,AGAWAM,"$2,756.00 "
RIVERBOAT BAR & GRILL,11-13 SOUTH END CIR,AGAWAM,"$738,442.00 "
RIVERSIDE LIQUORS,1811 MAIN STREET,AGAWAM,"$122,039.25 "
SCOREBOARD BAR & RESTAURANT,15 KING ST,AGAWAM,"$499,780.50 "
SOUTHBRIDGE CONV,1 SOUTH BRIDGE RD,AGAWAM,"$615,683.50 "
SOUTHGATE LIQUORS,842 SUFFIELD ST,AGAWAM,"$309,191.50 "
THE DAIRY STORE,335 SUFFIELD ST,AGAWAM,"$2,364,461.00 "
THE STILL,63 SPRINGFIELD ST,AGAWAM,"$427,048.50 "
TOWNE LIQUORS,384 WALNUT ST,AGAWAM,"$197,695.25 "
TOWNE TAP ROOM,378 WALNUT ST EXT,AGAWAM,"$8,935.00 "
UTOPIA,713 MAIN ST,AGAWAM,"$1,199,463.25 "
7-ELEVEN 20390-C,204 N HARVARD ST,ALLSTON,"$382,594.25 "
7-ELEVEN 37367,509 CAMBRIDGE ST,ALLSTON,"$1,060,501.75 "
7-ELEVEN 37526,1227 COMMONWEALTH AVE,ALLSTON,"$824,717.75 "
ALLSTON CAR WASH,434 CAMBRIDGE ST,ALLSTON,"$261,801.25 "
ALLSTON CONVENIENCE,165 ALLSTON ST,ALLSTON,"$369,382.50 "
ALLSTON GULF,198 WESTERN AVENUE,ALLSTON,"$1,060,498.75 "
ALLSTON MARKET,169 HARVARD AVE,ALLSTON,"$930,429.00 "
BOSTON LIQUORS,223-233 CAMBRIDGE STREET,ALLSTON,"$317,588.75 "
GREAT SCOTT,1222 COMMONWEALTH AV,ALLSTON,"$26,560.00 "
LEES 2 MARKET,1383 COMMONWEALTH AVE,ALLSTON,"$323,648.00 "
MAYFAIR FOODS INC,506 CAMBRIDGE ST,ALLSTON,"$399,780.75 "
NEIGHBORHOOD MARKET,57 FRANKLIN ST,ALLSTON,"$738,314.25 "
QUALITY LIQUORS,489 CAMBRIDGE ST,ALLSTON,"$305,538.50 "
REGINA PIZZERIA,353 CAMBRIDGE STREET,ALLSTON,"$293,110.50 "
SILHOUETTE LOUNGE,200 BRIGHTON AVE,ALLSTON,"$131,047.25 "
SPEEDWAY #2448,100 BRIGHTON AVE,ALLSTON,"$412,027.25 "
SPEEDWAY #2493,219 CAMBRIDGE ST,ALLSTON,"$858,931.50 "
STAR MKT 3588,1065 COMM AVE,ALLSTON,"$583,912.25 "
START WIRELESS,483 CAMBRIDGE ST,ALLSTON,"$53,313.50 "
STARZZONE COMMUNICATIONS,1 BRIGHTON AVENUE #102,ALLSTON,"$87,951.75 "
STOP & SHOP #089,60 EVERETT ST,ALLSTON,"$1,169,770.75 "
SUNRISE MARKET,152 - 154 BRIGHTON AVE,ALLSTON,"$988,519.25 "
VAN'S MINI MART,109 FRANKLIN ST,ALLSTON,"$1,350,548.25 "
A L PRIME ENERGY,63 ELM ST,AMESBURY,"$305,674.50 "
AMESBURY ONE STOP,108 MACY ST,AMESBURY,"$433,600.50 "
AMESBURY ONE STOP II,23  ROCKY HILL RD,AMESBURY,"$118,425.75 "
CARRIAGE WHEEL PUB,10 FRIEND ST,AMESBURY,"$3,835.00 "
CIRCLE K #7501,24 ROCKY HILL RD,AMESBURY,"$955,504.00 "
CUMBERLAND #6661,132 ELM ST,AMESBURY,"$948,615.50 "
CUMBERLAND #6669,241 MAIN ST,AMESBURY,"$1,384,270.50 "
FELCO MINI MART,60 HAVERHILL RD,AMESBURY,"$482,572.75 "
LEARYS FINE WINES,100 MACY STREET,AMESBURY,"$27,902.00 "
RICHDALE,65 FRIEND STREET,AMESBURY,"$1,540,794.50 "
RITE AID 10131,15 HAVERHILL RD,AMESBURY,"$131,999.25 "
ROUTE 110 LIQUORS,25 1/2 MACY ST,AMESBURY,"$23,065.00 "
ROUTE 110 LIQUORS,25 MACY ST,AMESBURY,"$74,174.25 "
STOP & SHOP #499,100 MACY STREET,AMESBURY,"$985,748.00 "
THE BARN,3-5 RING ST,AMESBURY,"$399,615.75 "
THE CROSSBAR PUB,12-14 SOUTH HUNT ROAD,AMESBURY,"$17,416.00 "
VERMETTE'S INC,6 POND ST,AMESBURY,"$1,028,519.50 "
WANG'S LIQUORS,49 FRIEND ST,AMESBURY,"$33,837.25 "
YANG MING II RESTAURANT,88 HAVERHILL ROAD,AMESBURY,"$464,753.75 "
AMHERST CENTER STORE,259 TRIANGLE STREET,AMHERST,"$660,595.75 "
AMHERST MOBIL #04048,399 NORTHAMPTON ST,AMHERST,"$474,981.50 "
BIG GUY LIQUORS,25 MONTAGUE ST,AMHERST,"$46,204.50 "
BIG Y #46,175 UNIVERSITY DRIVE,AMHERST,"$695,677.00 "
COUSINS FOOD MARKET,11 EAST PLEASANT STREET,AMHERST,"$246,438.00 "
CUMBERLAND #6617,19 MONTAGUE ST,AMHERST,"$819,786.00 "
CUMBERLAND #6704,35 BELCHERTOWN RD,AMHERST,"$736,424.25 "
NEIGHBOR FOOD DAIRY MART,324  COLLEGE ST,AMHERST,"$759,410.75 "
OLDE TOWNE TAVERN,1 PRAY ST,AMHERST,$187.00 
R & P PACKAGE STORE,505 WEST ST,AMHERST,"$227,452.00 "
RAFTERS RESTAURANT,422 AMITY ST,AMHERST,"$556,300.00 "
SPEEDWAY #2419,468 WEST ST,AMHERST,"$683,391.00 "
SPIRIT HAUS INC,338 COLLEGE ST,AMHERST,"$94,907.25 "
STACKERS PUB,57 N PLEASANT ST,AMHERST,"$23,390.00 "
THE ENGLISH PUB,15 E PLEASANT STREET,AMHERST,"$48,411.75 "
THE SPOKE'N SPORTS BAR,35 EAST PLEASANT STREET,AMHERST,"$101,501.00 "
UNIVERSITY LIQUORS,6 UNIVERSITY DRIVE SUITE 10,AMHERST,"$186,025.75 "
ANDOVER LIQUORS,209 N.MAIN ST,ANDOVER,"$190,369.75 "
ANDOVER MOBIL,309 LOWELL ST,ANDOVER,"$1,086,214.00 "
ANDOVER SPA,9 ELM STREET,ANDOVER,"$959,446.75 "
MARCS SNACK BAR,310 LOWELL ST IRS BLDG,ANDOVER,"$1,006,700.75 "
REDSTONE  LIQUORS,89 MAIN STREET,ANDOVER,"$64,830.25 "
RICHDALE,10 RAILROAD ST,ANDOVER,"$2,173,255.50 "
SHAWSHEEN VILLAGE LIQUORS,2 POOR ST,ANDOVER,"$68,757.00 "
STOP & SHOP #471,199 NORTH MAIN ST,ANDOVER,"$492,229.75 "
SUNDAY GENERAL STORE,195 ANDOVER ST,ANDOVER,"$802,024.00 "
THE CHATEAU RESTAURANT,131 RIVER RD & RT 93,ANDOVER,"$2,838,653.50 "
WEST ANDOVER MOBIL,139 RIVER RD,ANDOVER,"$1,344,428.25 "
7 STAR GROCERY,6 MEDFORD ST,ARLINGTON,"$762,517.50 "
A AND A MARKET,1042 MASS AVE,ARLINGTON,"$326,532.00 "
ARLINGTON CONVENIENCE,245 MASS AVE,ARLINGTON,"$2,736,173.75 "
ARLINGTON LIQUORS,94 SUMMER ST,ARLINGTON,"$152,642.25 "
ARLINGTON SHELL,934-950 MASS AVE,ARLINGTON,"$45,104.50 "
BOYLES FAMILY MARKET,64 BROADWAY,ARLINGTON,"$1,063,167.25 "
BROADWAY MARKET,94-96 BROADWAY ST,ARLINGTON,"$1,157,357.75 "
COLUMBUS CLUB,15 WINSLOW ST,ARLINGTON,"$562,583.75 "
DAGGS DELI,148 MASS AVE,ARLINGTON,"$640,737.00 "
D'AGOSTINOS DELI,1297 MASS AVE,ARLINGTON,"$44,951.75 "
EASY CONVENIENCE,935 MASS AVE,ARLINGTON,"$2,288,305.75 "
FENWAY MARKET,203 BROADWAY,ARLINGTON,"$84,663.50 "
FENWAY MARKET,203 BROADWAY,ARLINGTON,"$985,536.50 "
GALAXY MARKET,1348 MASS AVE,ARLINGTON,"$1,599,947.75 "
LITTLE JOES CONV. STORE,206 SUMMER ST,ARLINGTON,"$1,736,406.25 "
MASS CONVENIENCE,86 WARREN ST,ARLINGTON,"$1,518,674.50 "
MYSTIC STREET GULF,140 MYSTIC ST,ARLINGTON,"$37,732.50 "
MYSTIC WINE SHOPPE,901 MASS AVE,ARLINGTON,"$27,201.50 "
PETER PAN SUPERETTE,2 PARK AVE,ARLINGTON,"$2,247,307.00 "
STOP & SHOP #776,905 MASS AVE,ARLINGTON,"$633,396.00 "
SYMMES MINI MART,681 MASSACHUSETTS AVENUE,ARLINGTON,"$1,134,962.50 "
AMER LEGION POST 142,132 WILLIAMS ROAD,ASHBURNHAM,"$102,004.00 "
ASHBURNHAM HARDWARE,41 MAIN STREET,ASHBURNHAM,"$175,113.25 "
ASHBURNHAM MARKET PLACE,50 REAR MAIN ST,ASHBURNHAM,"$132,819.00 "
ASHBURNHAM WINE & SPIRITS,3 MEMORIAL DR,ASHBURNHAM,"$149,579.00 "
COUNTRYLAND MINI MART,67 MAIN STREET,ASHBURNHAM,"$1,083,038.25 "
GLOBAL MONTELLO,6 GARDNER RD,ASHBURNHAM,"$388,754.75 "
TURNPIKE ROD & GUN CLUB,94 COREY HILL RD,ASHBURNHAM,"$235,959.00 "
TWEEDOS VARIETY,3 DUNN RD,ASHBURNHAM,"$201,248.00 "
873 MARKET,873 MAIN STREET,ASHBY,"$382,919.25 "
873 TAVERN,873 MAIN STREET,ASHBY,"$60,029.00 "
ASHBY MARKET,MAIN ST,ASHBY,"$60,745.25 "
CONVENIENT MART,1274 MAIN STREET,ASHBY,"$414,692.00 "
LOW LOW CONVENIENCE STORE,704-701 FITCHBURG ROAD,ASHBY,"$63,070.50 "
NEIGHBORS,244 MAIN ST,ASHFIELD,"$303,128.00 "
ALLTOWN #2724,272 POND ST,ASHLAND,"$280,193.00 "
AMERICAN LEGION,40 SUMMER ST,ASHLAND,"$168,135.75 "
ASHLAND ALE HOUSE,23 POND STREET RT 126,ASHLAND,"$667,509.00 "
ASHLAND CONV STORE,72 UNION ST RT 135,ASHLAND,"$2,604,023.00 "
ASHLAND FISH & GAME,3 PONDEROSA RD,ASHLAND,"$126,564.50 "
ASHLAND MEM ASSOC,311 PLEASANT ST,ASHLAND,"$519,151.00 "
ASHLAND PUBLIC MARKET,197 MAIN ST,ASHLAND,"$315,715.50 "
ASHLAND SHELL #74,123 UNION ST,ASHLAND,"$546,231.50 "
BRASIL AMERICAN CONV,21 HOMER AVE,ASHLAND,"$95,739.50 "
BURNAMS SUPPER HOUSE,366 PLEASANT ST,ASHLAND,"$24,599.00 "
CHERRY BLOSSOM,80 UNION ST,ASHLAND,"$824,858.50 "
CHE'S LIQUORS,300 ELIOT ST,ASHLAND,"$390,175.75 "
CVS  ATTN:  LOTTERY,47 POND ST,ASHLAND,"$11,554.00 "
EXXCEL OIL,119 POND ST,ASHLAND,"$593,074.25 "
E-Z CONVENIENT FOOD,69 POND ST,ASHLAND,"$566,502.25 "
E-Z CONVENIENT FOOD,69 POND ST,ASHLAND,"$1,624,769.25 "
FARMER'S RAM MARKET,5 HOMER AVE,ASHLAND,"$264,710.50 "
HANTO,380 UNION ST,ASHLAND,"$318,111.50 "
LUCKY FARMS,1 WEST UNION ST,ASHLAND,"$1,954,151.75 "
MARATHON MOBIL,103 WEST UNION ST,ASHLAND,"$53,317.25 "
MARATHON MOBIL,103 WEST UNION STREET,ASHLAND,"$181,397.00 "
MARKET BASKET #46,49 POND ST,ASHLAND,"$324,358.50 "
RITE AID 10098,339 POND ST,ASHLAND,"$57,487.50 "
RITE AID 10099,399 UNION ST,ASHLAND,"$42,465.25 "
SHAWS 1419,301 POND ST,ASHLAND,"$836,844.50 "
SPEEDWAY #2449,196 POND ST,ASHLAND,"$405,526.75 "
SUNNYSIDE LIQUORS,7 POND STREET,ASHLAND,"$506,322.75 "
TJS FOOD/SPIRITS,355 W UNION ST. RT-135,ASHLAND,"$1,432,371.50 "
CIRCLE K #7516,68 S MAIN ST,ASSONET,"$2,301,258.75 "
GRANDPAS PLACE,9 SOUTH MAIN ST,ASSONET,"$961,506.00 "
JUNIOR'S CONVIENCE STORE,58 S MAIN ST,ASSONET,"$1,061,737.50 "
ATHOL GENERAL STORE,390 CRESCENT ST,ATHOL,"$281,280.25 "
ATHOL MINI MART,464 CRESCENT STREET,ATHOL,"$430,347.50 "
ATHOL SPIRITS,11 TUNNEL ST,ATHOL,"$847,076.00 "
CONWAY PETRO,1590 MAIN STREET,ATHOL,"$556,129.50 "
CORNER STORE,229 PINEDALE AVE,ATHOL,"$850,099.00 "
COUNTRY CONVENIENCE,49 S MAIN ST,ATHOL,"$2,183,378.25 "
CUMBERLAND #6688,297 MAIN ST,ATHOL,"$1,347,708.50 "
CUMBERLAND #6706,1304 SO MAIN STREET,ATHOL,"$1,625,966.25 "
HANNAFORD #8385,150 NEW ATHOL RD,ATHOL,"$374,693.25 "
LARRY'S VARIETY,1503 MAIN ST,ATHOL,"$2,183,220.25 "
MARKET BASKET #78,1125 TEMPLETON RD,ATHOL,"$414,000.00 "
MR MIKE'S #310,2143 MAIN ST,ATHOL,"$795,241.00 "
RITE AID 10075,1640 S MAIN ST,ATHOL,"$53,472.00 "
STAN'S LIQUOR MART,1586 SOUTH MAIN ST RT2A,ATHOL,"$287,932.25 "
THE STEEL PUB,11 EXCHANGE STREET,ATHOL,"$673,756.00 "
UPTOWN PACKAGE,2280 MAIN ST,ATHOL,"$435,364.75 "
AROOGA'S GRILLE HOUSE & SPORTS,228 WASHINGTON ST,ATTLEBORO,"$143,245.00 "
ATTLEBORO CONVENIENCE,850 WASHINGTON STREET,ATTLEBORO,"$1,858,991.75 "
ATTLEBORO MOOSE LODG,241 THACHER ST,ATTLEBORO,"$163,146.00 "
ATTLEBORO SHELL,182 PLEASANT ST,ATTLEBORO,"$141,444.50 "
ATTLEBORO SHELL #4002,227 SOUTH AVE,ATTLEBORO,"$1,427,462.75 "
BAY STATE CHECK EXPRESS,1037 WASHINGTON ST,ATTLEBORO,"$86,921.75 "
BORDER BETS & BUTTS,661 WASHINGTON ST,ATTLEBORO,"$3,047,003.75 "
BPO ELKS #1014,887 SO MAIN ST,ATTLEBORO,"$118,251.00 "
BRIGGS CORNER STORE,1503 PARK ST,ATTLEBORO,"$1,207,515.50 "
BROTHERS LIQUOR & MARKET,193 PINE STREET,ATTLEBORO,"$469,382.50 "
CITY SPIRITS,74 PARK ST,ATTLEBORO,"$171,540.25 "
CITY SPIRITS II,524 PLEASANT STREET,ATTLEBORO,"$187,754.00 "
COUNTY SQUARE BEVERAGE,412 THACHER ST,ATTLEBORO,"$175,811.25 "
COZY MINI MART,1 NORTH AVE,ATTLEBORO,"$906,999.50 "
CUMBERLAND #0049,290 COUNTY ST,ATTLEBORO,"$910,414.75 "
CUMBERLAND #0135,1128 OAKHILL AVE,ATTLEBORO,"$858,821.50 "
CUMBERLAND #0144,80 COUNTY & WALL ST,ATTLEBORO,"$1,067,195.00 "
CUMBERLAND #0223,220 PLEASANT STREET,ATTLEBORO,"$304,044.50 "
DAIRY CAROUSEL,220 S MAIN ST,ATTLEBORO,"$3,223,981.00 "
DODGEVILLE COUNTRY STORE,408 S MAIN ST,ATTLEBORO,"$845,112.00 "
ELLY CONV STR & SMOKE,185 PLEASANT STREET,ATTLEBORO,"$315,388.00 "
ETC LOUNGE,173 WESTMINSTER ST,ATTLEBORO,"$256,297.50 "
JOE'S GAS,80 PLEASANT ST,ATTLEBORO,"$1,927,316.50 "
JOE'S MARKET,75 LINDEN ST,ATTLEBORO,"$663,572.50 "
JR'S BAR & GRILL,147 PINE ST,ATTLEBORO,"$223,506.00 "
LIQUOR MART,15 HIGHLAND AVE,ATTLEBORO,"$375,825.75 "
MARKET BASKET #76,1200 NEWPORT AVE,ATTLEBORO,"$442,124.25 "
MOBIL GAS,1249 NEWPORT AVE,ATTLEBORO,"$968,699.75 "
MR JACK'S WINES & SPIRITS,1190 NEWPORT AVE,ATTLEBORO,"$124,346.50 "
MUTUAL MART,19 PLEASANT STREET,ATTLEBORO,"$733,088.00 "
NAP'S PACKAGE STORE,267 PARK ST,ATTLEBORO,"$127,627.00 "
NGM GAS,584 WASHINGTON STREET,ATTLEBORO,"$121,664.75 "
PLEASANT AUTO CENTER,676 PLEASANT ST,ATTLEBORO,"$56,672.50 "
PLEASANT ST BAR & GRILL,50 PLEASANT ST,ATTLEBORO,"$444,555.50 "
RICHDALE SUPERETTE,110 N MAIN STREET,ATTLEBORO,"$1,941,787.75 "
RITE AID 10195,1099 WASHINGTON ST,ATTLEBORO,"$91,513.25 "
ROUTE 1 GAS,765 WASHINGTON ST,ATTLEBORO,"$890,494.00 "
RUSTY LANTERN MARKET #0466,466 WASHINGTON STREET,ATTLEBORO,"$65,133.75 "
SAKURA,809 WASHINGTON STREET,ATTLEBORO,"$66,759.00 "
SEABRA FOODS,217 SOUTH MAIN ST,ATTLEBORO,"$393,329.75 "
SINGAPORE CHINESE RESTAURANT,111 PLEASANT STREET,ATTLEBORO,"$644,257.00 "
SOUTH SIDE VARIETY,173B WESTMINSTER ST,ATTLEBORO,"$6,163,243.25 "
SPEEDWAY #2433,946 WASHINGTON ST,ATTLEBORO,"$333,345.75 "
STATELINE CONVENIENCE,882 WASHINGTON ST,ATTLEBORO,"$23,946.75 "
STATELINE MART,1124 WASHINGTON ST,ATTLEBORO,"$10,118.00 "
STOP & SHOP #432,467 PLEASANT ST,ATTLEBORO,"$672,357.75 "
SUN MARKET,9 UNION ST,ATTLEBORO,"$808,825.00 "
TRIPLE PLAY MOBIL,106 WASHINGTON ST,ATTLEBORO,"$894,312.00 "
TWIN LIQUORS,827 S MAIN ST,ATTLEBORO,"$292,218.00 "
VISTA DONUTS,1096 WASHINGTON STREET,ATTLEBORO,"$3,958,976.00 "
AUBURN AMER LEGION,88 BANCROFT ST,AUBURN,"$378,377.25 "
AUBURN ELKS,754 SOUTHBRIDGE ST,AUBURN,"$234,601.50 "
AUBURN PACKAGE STORE,196 AUBURN ST,AUBURN,"$927,732.25 "
AUBURN PARK N SHOP,711 SOUTHBRIDGE,AUBURN,"$869,884.50 "
AUBURN SHELL,712 SOUTHBRIDGE ST,AUBURN,"$287,028.75 "
BENTLEY PUB,602 SOUTHBRIDGE ST,AUBURN,"$620,441.50 "
BJ'S WHOLESALE #38,777 WASHINGTON ST,AUBURN,"$201,403.50 "
BP GAS,481 WASHINGTON ST,AUBURN,"$941,772.50 "
CHUCK'S STEAK HOUSE,10 PROSPECT ST,AUBURN,"$184,335.00 "
COLONY FARMS,710 SOUTHBRIDGE ST,AUBURN,"$128,418.25 "
COLONY LIQUORS & WINE,683 SOUTHBRIDGE ST,AUBURN,"$315,539.25 "
CUMBERLAND #0166,502 WASHINGTON ST,AUBURN,"$1,660,472.00 "
FAST LANE,860 SOUTHBRIDGE ST,AUBURN,$186.00 
