Agent Name,Agent Address,Agent City,FY 20 Net Sales
RT 110 MART,137 ANDOVER ST,LOWELL,"$1,382,183.25"
PRATHNA'S CONVENIENCE,408 SUFFOLK ST,LOWELL,"$1,600,775.50"
LOWELL FOOD MART,624 SCHOOL ST,LOWELL,"$1,671,708.75"
RICHDALE FOOD SHOP,103 ROGERS ST,LOWELL,"$1,678,490.50"
STORE 38,368 FAIRMOUNT ST,LOWELL,"$1,701,483.25"
DRUM HILL GULF,5 DRUM HILL RD,LOWELL,"$1,715,966.75"
PARKER ST VARIETY,322 PARKER STREET,LOWELL,"$1,738,480.25"
COUNTRY FARMS,56 AIKEN AVE,LOWELL,"$1,906,260.25"
THE WINDSOR SHOPPE,583 WESTFORD ST,LOWELL,"$1,933,206.50"
TONY'S CONVENIENCE,349 WESTFORD ST,LOWELL,"$1,946,909.75"
FRANK & ERNEST,810 CENTRAL ST,LOWELL,"$2,002,867.50"
4 M'S VARIETY,271 SCHOOL ST,LOWELL,"$2,115,467.25"
7-ELEVEN 37464,970 GORHAM,LOWELL,"$2,133,049.75"
7-ELEVEN 33097-A,55 CHELMSFORD ST,LOWELL,"$2,152,323.75"
SIMON CONVENIENCE,590 ROGERS ST,LOWELL,"$2,374,820.25"
MILL CITY CONVENIENCE,494 WESTFORD ST,LOWELL,"$2,434,821.50"
7-ELEVEN 37358,463 CHELMSFORD ST,LOWELL,"$2,462,457.25"
LUCKY MARKET,1300 GORHAM ST,LOWELL,"$2,479,090.75"
HARRY'S FOOD MART,1460 MIDDLESEX ST,LOWELL,"$2,505,917.00"
LOWELL QUICK MART,627 CHELMSFORD ST,LOWELL,"$2,521,715.25"
JAY'S FOOD STORE,166 GORHAM ST,LOWELL,"$2,781,421.00"
ECONO MART,1280 LAWRENCE ST,LOWELL,"$3,177,256.50"
VARNUM MARKET,863 VARNUM AVE,LOWELL,"$3,347,230.50"
QUICK MART,299  CHELMSFORD STREET,LOWELL,"$3,704,979.50"
MOONLIGHT CAFE,387-389 EAST STREET,LUDLOW,"$4,285.00"
JOHN'S CORNER,204 1/2 SEWALL ST,LUDLOW,"$5,608.00"
LUDLOW ELKS LODGE,69 CHAPIN ST,LUDLOW,"$149,442.50"
UNITY ATHLETIC CLUB,161 STATE ST,LUDLOW,"$157,379.50"
LUDLOW FISH & GAME,SPORTSMEN RD,LUDLOW,"$167,170.50"
FOUR SEASONS WINE & LIQUOR,328 EAST ST,LUDLOW,"$197,665.50"
THE LIGHTHOUSE,108 SEWALL ST,LUDLOW,"$253,900.00"
VILLA ROSE RESTUARANT,1428 CENTER ST,LUDLOW,"$263,711.50"
ALLTOWN #853,66 7 WEST MASS PIKE,LUDLOW,"$265,471.50"
BASICS MINI MART,192 EAST STREET,LUDLOW,"$301,331.50"
ALLTOWN #852,55 9 EAST MASS PIKE,LUDLOW,"$369,772.00"
POLISH AMERICAN CLUB,355 EAST ST,LUDLOW,"$384,229.25"
LUDLOW SMOKE SHOP,246 EAST STREET,LUDLOW,"$391,933.00"
EL CID LOUNGE,1002 EAST ST,LUDLOW,"$468,426.50"
GREMIO LUSITANO CLUB,385 WINSOR ST,LUDLOW,"$483,717.00"
RANDALL FARM INC,631 CENTER ST,LUDLOW,"$506,639.25"
MILLIS TAVERN AND GRILLE,14 WORCESTER STREET,LUDLOW,"$546,149.00"
NOURIA #4056,425 CENTER ST,LUDLOW,"$562,441.00"
OPEN DOOR CAFE,247 CADY ST,LUDLOW,"$641,391.25"
BROOKSIDE CAFE,6 FULLER ST,LUDLOW,"$686,010.00"
EASY SHOP,546A CENTER ST,LUDLOW,"$717,311.75"
POP AND KORK,12 CADY ST,LUDLOW,"$738,068.50"
BIG Y #19,425 CENTER ST,LUDLOW,"$894,251.25"
CUMBERLAND #0200,463 CENTER ST,LUDLOW,"$932,316.00"
CUMBERLAND #0213,320 EAST ST,LUDLOW,"$989,156.25"
UNCLE BOB'S,967 EAST STREET,LUDLOW,"$1,008,233.25"
CHAPIN EAST VARIETY,830 EAST ST,LUDLOW,"$1,098,259.75"
CUMBERLAND #0139,105 WEST ST,LUDLOW,"$1,225,777.25"
LUDLOW MOBIL,341 WEST ST,LUDLOW,"$1,429,678.00"
OUR TOWN VARIETY,259 FULLER STREET,LUDLOW,"$1,872,795.75"
LUDLOW SHELL,227 CENTER ST,LUDLOW,"$2,060,794.00"
PRIDE STATION & STORE,478 CENTER ST,LUDLOW,"$2,261,075.25"
EMBERS PIZZERIA,84 LAKEFRONT AVE,LUNENBURG,"$27,514.00"
EMBERS PIZZERIA,84 LAKEFRONT AVE,LUNENBURG,"$56,920.00"
AMERICAN GRAFFITI,113 SUMMER ST,LUNENBURG,"$80,181.00"
ZEDAS VILLAGE BAR & GRILL,1 MAIN STREET,LUNENBURG,"$93,463.25"
T & P CONVENIENCE,5 SUMMER ST,LUNENBURG,"$104,774.75"
KINDRED SPIRITS,324 ELECTRIC AVENUE,LUNENBURG,"$161,669.00"
YATIM CENTRAL CONVENIENCE LUNENBURG,451 MASS AVE,LUNENBURG,"$191,259.00"
DONNELLYS TAVERN,43 SUMMER ST,LUNENBURG,"$214,761.00"
LUNENBURG LIQUORS,433 ELECTRIC AVE,LUNENBURG,"$305,704.50"
HANNAFORD #8388,333 MASS AVE,LUNENBURG,"$404,823.25"
ON THE ROCKS,96 LAKEFRONT DRIVE,LUNENBURG,"$432,469.00"
EZ MART,131 MASSACHUSETTS AVE,LUNENBURG,"$515,665.00"
HILLTOP FARMS,1 MAIN ST,LUNENBURG,"$1,341,884.75"
LUNENBURG GAS & MARKET,400 ELECTRIC AVE,LUNENBURG,"$1,420,437.25"
HONEY FARMS 3829,134 LEOMINSTER SHIRLEY RD,LUNENBURG,"$1,511,068.00"
LUNENBURG EXXON SHOP,451 MASS AVE,LUNENBURG,"$1,649,474.50"
BAKERS WHALOM VARIETY,423 ELECTRIC AVE,LUNENBURG,"$2,746,804.25"
ALL PRO SHIPPING CENTER,253 WESTERN AVENUE,LYNN,"$1,677.50"
ST MICHAEL'S LODGE,61-65 W NEPTUNE ST,LYNN,"$1,912.00"
BROOKSIDE LIQUOR,30 BOSTON STREET,LYNN,"$2,936.25"
JAY'S LA SUMMER STREET MARKET,727 SUMMER STREET,LYNN,"$7,747.75"
LINDA'S JEWELERS,2 MARKET ST,LYNN,"$15,181.75"
FOUR WINDS PUB & GRILL,265 BROADWAY,LYNN,"$15,921.00"
APRIL'S PUB AND GRILL,41 BUFFUM STREET IST FLOOR,LYNN,"$17,017.50"
WESTERN MARKET,669 WESTERN AVENUE #1,LYNN,"$22,403.75"
SPEEDWAY #2502,122 LIBERTY ST,LYNN,"$44,201.50"
ANDREA LIQUORS,780 WASHINGTON STREET,LYNN,"$46,704.00"
STOP & GO MARKET,727 SUMMER ST,LYNN,"$49,025.25"
LA FAMILIA MARKET,602 SUMNER ST,LYNN,"$64,792.75"
WALNUT ST COFFEE,157 WALNUT ST,LYNN,"$72,300.00"
R F O'SULLIVANS,151 CENTRAL AVENUE,LYNN,"$82,143.50"
FRANCO AMER AMVETS,535 WESTERN AVE,LYNN,"$82,748.00"
STATE STREET LIQUORS,46 STATE ST,LYNN,"$85,023.75"
MARQUITOS MINI MARKET,229 LEWIS STREET,LYNN,"$90,551.00"
CHESTNUT LIQUORS,348 CHESTNUT ST,LYNN,"$107,065.50"
CHESTNUT LIQUORS,348 CHESTNUT ST,LYNN,"$115,561.75"
VISTA MARKET,391 ESSEX STREET,LYNN,"$120,230.50"
LUCKYS LIQUOR,171 LEWIS ST,LYNN,"$127,443.25"
ALL CHECKS CASHED,62 MARKET SQ,LYNN,"$150,083.75"
CENTRO LIQUORS,395 ESSEX ST,LYNN,"$166,627.25"
SANTO DOMINGO GROCERY,158 CHESTNUT STREET,LYNN,"$168,200.00"
BENJY'S CONVENIENCE,250 CHATHAM ST,LYNN,"$172,874.50"
GUADALUPE MEAT MARKET,114 UNION STREET,LYNN,"$182,437.00"
MI PROVINCIA MARKET,411 ESSEX STREET,LYNN,"$185,963.25"
SOFIA MARKET,76 LEWIS STREET,LYNN,"$186,048.00"
NOURIA #4037,122 BOSTON ST,LYNN,"$188,561.00"
LOOMOS BROS INC,524 BOSTON ST,LYNN,"$209,855.50"
OCEAN LIQUORS,780 WASHINGTON STREET,LYNN,"$211,609.50"
EL PATIO MARKET,209 WASHINGTON ST,LYNN,"$216,932.75"
FULL MOON MARKET,369 SUMMER ST,LYNN,"$220,419.25"
DURAN MARKET,524 WESTERN AVE,LYNN,"$222,137.50"
SOUTHLAND FOOD SHOP,70 MARKET SQ,LYNN,"$225,357.25"
THE CORNER SHOP,70 MARKET SQ,LYNN,"$235,847.25"
MELCHRIS MARKET,74 CENTRAL AVE,LYNN,"$237,169.25"
EL GUSTASO MARKET,550 SUMMER STREET,LYNN,"$253,147.25"
FAMILY CORNER II,624 BOSTON ST,LYNN,"$258,784.50"
MARKET SQUARE BEVERAGE,3 MARKET SQ,LYNN,"$272,031.25"
COMMERCIAL MARKET,105 COMMERCIAL ST,LYNN,"$279,112.50"
ROMAN'S MARKET,116 BROAD ST,LYNN,"$283,721.50"
SAN MARCOS MARKET,355 SUMMER STREET,LYNN,"$287,797.25"
SUNSHINE MARKET,56 WASHINGTON ST,LYNN,"$312,918.50"
SUPREME SUPER MARKET,201-205 N COMMON ST,LYNN,"$318,941.25"
BROOKSIDE LIQUOR,30 BOSTON STREET,LYNN,"$320,164.25"
ROLLY'S TAVERN 0N THE SQUARE,338 BROADWAY,LYNN,"$333,083.50"
D & T MARKET,17 HIGH ROCK ST,LYNN,"$343,275.25"
ALL IN ONE,289 ESSEX STREET,LYNN,"$353,649.75"
HINES LIQUORS,518 WESTERN AVE,LYNN,"$354,742.00"
SUNRISE CONVENIENCE,353 CHATHAM ST,LYNN,"$357,874.25"
FRIENDLY MARKET,127 MUNROE ST,LYNN,"$365,185.00"
RICHDALE CONVENIENCE STORE,86 NEWHALL STREET,LYNN,"$365,580.00"
SAN FRANCISCO MARKET,2 LAFAYETTE PARK,LYNN,"$375,392.25"
CONVENIENCE STATION,2-4 UNION STREET,LYNN,"$386,027.75"
MEKONG MARKET,863 WESTERN AVE,LYNN,"$388,913.00"
HIGHLAND MARKET,96 ADAMS STREET,LYNN,"$390,554.50"
LA CENTRAL MARKET,107 WASHINGTON ST,LYNN,"$401,010.75"
NEWHALL'S LIQUORS,336 BROADWAY,LYNN,"$401,535.25"
UNION VARIETY,88 UNION ST,LYNN,"$422,471.50"
LUCKYS LIQUOR,171 LEWIS ST,LYNN,"$441,709.50"
QUISQUEYA FOOD MART,34 UNION ST,LYNN,"$451,522.75"
LAZY DOG SPORTS BAR,328 BROADWAY,LYNN,"$459,462.00"
ASIAN GARDEN,8 MARKET STREET,LYNN,"$473,241.00"
LINCOLN MARKET,200 ESSEX STREET,LYNN,"$481,361.50"
JIM'S CORNER,43 BROAD ST,LYNN,"$485,302.25"
SPIROS ENERGY,525 LYNN WAY,LYNN,"$486,172.75"
TONYS PUB,196 FRANKLIN ST,LYNN,"$491,629.50"
EXPRESS CHECK OUT,340 WASHINGTON ST,LYNN,"$499,175.50"
BIG BROTHERS FOOD MART,578 CHESTNUT ST,LYNN,"$526,965.75"
BRANDY BARREL PUB,37 MARKET ST,LYNN,"$541,001.25"
CUMBERLAND #6727,668 CHESTNUT ST,LYNN,"$551,926.00"
ALPHA CONVENIENCE STORE,1 FREEMAN SQ,LYNN,"$556,017.25"
LYNN FUEL,512 CHESTNUT ST,LYNN,"$567,115.00"
CROWN VARIETY,232 LEWIS STREET,LYNN,"$572,922.75"
LYNN NEIGHBORHOOD MARKET,361 BOSTON STREET,LYNN,"$575,182.50"
VN MARKET,207 WASHINGTON ST,LYNN,"$598,342.00"
KIPPY'S NORTH WINES & SPIRITS,90 BOSTON ST,LYNN,"$608,492.50"
D & M MART,126 BROAD ST,LYNN,"$615,897.50"
LILY CONVENIENCE,13 LEWIS ST,LYNN,"$626,871.50"
SULLIVAN LIQUORS,196 ESSEX ST,LYNN,"$633,746.00"
LIDO CAFE,112 FEDERAL ST,LYNN,"$639,176.25"
STATE STREET LIQUORS,46 STATE ST,LYNN,"$644,913.25"
GREEN TEA,751 LYNNWAY,LYNN,"$645,595.75"
STOP & SHOP #067,35 WASHINGTON ST,LYNN,"$682,351.75"
LYNN LIQUOR MART,825 BOSTON ST,LYNN,"$682,652.00"
A L PRIME ENERGY,969 WESTERN AVENUE,LYNN,"$687,634.75"
ONE STOP MART,337 BOSTON ST,LYNN,"$689,795.75"
DI FILLIPO'S BAR & GRILL,163 BLOSSOM ST,LYNN,"$719,755.00"
DEBRO LIQUORS,649 EASTERN AVENUE,LYNN,"$728,257.00"
JIMMY'S DISCOUNT LIQUORS,873 WESTERN AVENUE,LYNN,"$746,152.75"
DEL PUEBLO MARKET,23 MARKET SQUARE,LYNN,"$765,888.75"
NOURIA #4032,535 LYNNWAY,LYNN,"$774,259.75"
MIKE'S LIQUORS,2A ADAMS ST EXT,LYNN,"$792,568.25"
LINDE MARKET,617 SUMMER ST,LYNN,"$834,063.00"
M C HEALD LIQUORS,6-12 COMMERCIAL ST,LYNN,"$889,221.00"
EL COLMADON,64 FRANKLIN STREET,LYNN,"$913,608.75"
MARKET BASKET #82,40 FEDERAL ST,LYNN,"$927,933.50"
RIVERSIDE 2,826 BOSTON ST,LYNN,"$960,120.75"
ESSEX MARKET,99 ESSEX STREET,LYNN,"$976,102.75"
JENNY'S CONVENIENCE,78 HENRY AVE,LYNN,"$1,084,416.50"
RICHDALE,585 ESSEX ST,LYNN,"$1,085,325.25"
A L PRIME ENERGY #101,423 BOSTON ST,LYNN,"$1,092,067.75"
LYNNFIELD STREET MARKET,263 LYNNFIELD ST,LYNN,"$1,100,036.75"
LYNN MARKET,38 MARKET ST,LYNN,"$1,148,597.50"
ENJOY LIQUOR AND FOOD MARKET,53 UNION ST,LYNN,"$1,239,028.50"
D & M VARIETY,99 COMMERCIAL ST,LYNN,"$1,302,907.50"
E Z SHOP,451 CHESTNUT ST,LYNN,"$1,312,817.00"
MARKET SQUARE,2 MARKET SQUARE,LYNN,"$1,380,579.00"
WESTERN AVENUE MARKET,108 WESTERN AVE,LYNN,"$1,390,143.00"
CAL'S NEWS STORE,53 CENTRAL AVE,LYNN,"$1,490,793.25"
7-ELEVEN 32470-A,3 LYNNFIELD ST,LYNN,"$1,515,795.75"
A TO Z CONVENIENCE,264 ESSEX STREET,LYNN,"$1,531,278.00"
JOHNNY'S MARKET,33 LYNNWAY,LYNN,"$1,649,568.75"
RICHDALE,59 NORTH FRANKLIN STREET,LYNN,"$1,669,433.50"
LYNN CONVENIENCE,109 WESTERN AVE,LYNN,"$1,869,157.50"
CONVENIENCE STATION,570 WESTERN AVE,LYNN,"$2,021,310.50"
T-STOP SUPERETTE,546 WALNUT ST,LYNN,"$2,279,040.25"
EASTERN MARKET,121 EASTERN AVE,LYNN,"$2,320,873.50"
UNION NEWS,250 UNION ST,LYNN,"$2,326,711.50"
7-ELEVEN 32441-A,50 WESTERN AVE,LYNN,"$2,360,787.50"
DEE'S CORNER,37 ESSEX ST,LYNN,"$2,390,868.75"
RICHDALE,453 CHATHAM STREET,LYNN,"$2,396,023.50"
SHOP KWIK SUPERETTE,534 LYNNFIELD STREET,LYNN,"$2,432,627.00"
7-ELEVEN 34404-I,9 AUSTIN SQUARE,LYNN,"$2,513,174.00"
NORM'S VARIETY,423 EASTERN AVE,LYNN,"$2,609,461.50"
RICHDALE,229 BROADWAY,LYNN,"$2,622,330.75"
7-ELEVEN 37457,210 LEWIS ST,LYNN,"$2,627,583.50"
ONE STOP MART,601 BOSTON STREET,LYNN,"$2,704,798.75"
NINA'S MARKET,51 ESSEX ST,LYNN,"$3,114,584.00"
RICHDALE,149 WALNUT ST,LYNN,"$3,276,134.00"
CONVENIENCE PLUS,225 WESTERN AVE,LYNN,"$3,317,115.50"
ALL DAY CONVENIENCE STORE,548 SUMMER STREET,LYNN,"$3,645,699.00"
RICHDALE,573 CHESTNUT ST,LYNN,"$4,192,290.75"
T AND L LIQUORS,588 MAIN ST,LYNNFIELD,"$114,263.00"
KERNWOOD LIQUORS,12 SALEM ST,LYNNFIELD,"$123,725.00"
WAKEFIELD ELKS #1276,63 BAY STATE RD,LYNNFIELD,"$195,029.00"
NOURIA ENERGY #1181,8 BROADWAY,LYNNFIELD,"$232,090.25"
LYNNFIELD FUEL,596 SALEM ST,LYNNFIELD,"$394,890.50"
DONOVANS LIQUORS,449 BROADWAY,LYNNFIELD,"$588,992.25"
LYNNFIELD MOBIL PUMPIN PANTRY,793 MAIN STREET,LYNNFIELD,"$721,975.50"
LYNNFIELD GULF,8 BROADWAY,LYNNFIELD,"$724,808.00"
CENTER MARKET,588 MAIN STREET,LYNNFIELD,"$1,334,443.75"
OLD TOWNE MARKET,8 POST OFFICE SQ,LYNNFIELD,"$1,758,836.75"
MALDEN AMERICAN LEGION POST 69,75 MERIDIAN ST,MALDEN,$62.00
SPICY WORLD MALDEN,157 PLEASANT STREET,MALDEN,$356.00
VILLAGE MART,10 FLORENCE ST,MALDEN,$857.00
SUN KONG RESTAURANT,275 EASTERN AVE,MALDEN,"$28,963.00"
MAPLEWOOD MEAT MARKET,11 MAPLEWOOD ST,MALDEN,"$45,945.50"
MAPLEWOOD WELLNESS PHARMACY,904 SALEM STREET,MALDEN,"$47,244.00"
KAPPY'S LIQUORS,746 MAIN ST,MALDEN,"$127,032.75"
LYONS LIQUORS,188 FERRY STREET,MALDEN,"$134,244.00"
KAPPY'S LIQUORS,325 BENNETT HWY,MALDEN,"$165,866.50"
LYONS LIQUORS,188 FERRY STREET,MALDEN,"$166,161.50"
SALEM ST MARKET,375 SALEM ST,MALDEN,"$168,698.25"
SANTORO'S SUB SHOP,310 MAIN ST,MALDEN,"$213,850.25"
MOOSE LODGE 1910 MALDEN,562 BROADWAY,MALDEN,"$220,790.25"
PORTILLO BROTHERS MARKET,490 FERRY STREET,MALDEN,"$223,182.00"
QUARRYSTONE CONVENIENCE,10 OVERLOOK RIDGE DR,MALDEN,"$232,669.25"
MALDEN MINI MARKET,539 MAIN STREET,MALDEN,"$233,907.00"
RICCI'S LIQUOR STORE,834 MAIN ST,MALDEN,"$235,506.25"
JAYS WINE AND SPIRITS,77 COMMERCIAL ST,MALDEN,"$246,514.25"
KIM LONG MARKET,211 FERRY ST,MALDEN,"$342,855.00"
MALDEN MINI MARKET,539 MAIN STREET,MALDEN,"$397,775.50"
QUICK STOP,273 SALEM ST,MALDEN,"$439,547.75"
CHARLES STREET CONVENIENCE,429 CHARLES ST,MALDEN,"$461,980.50"
MOBIL,333 EASTERN AVE,MALDEN,"$469,622.50"
VERNON LIQUOR,673 EASTERN AVENUE,MALDEN,"$477,994.00"
EAST SIDE ATHLETIC ASSOC,14 WEBSTER CT,MALDEN,"$490,948.00"
CHARLES STREET CONVENIENCE,429 CHARLES ST,MALDEN,"$529,765.75"
ITALIAN AMERICAN CITIZENS,121 PEARL ST,MALDEN,"$560,812.75"
SPEEDWAY #2504,214-220 BROADWAY,MALDEN,"$585,571.75"
GIBBS # 1334,728 MAIN ST,MALDEN,"$608,907.00"
LOCKE LIQUOR,48 BROADWAY,MALDEN,"$672,526.25"
SUNRISE CONVENIENCE & POSTAL,51 PLEASANT ST,MALDEN,"$679,490.75"
QUICK STOP,841 EASTERN AVE,MALDEN,"$684,539.00"
PATRICK'S & FRANNY'S,36-40 LEBANON ST,MALDEN,"$696,395.00"
BELLROCK MARKET,114 MAIN ST,MALDEN,"$771,191.50"
SUMMER STREET FRUIT,72 SUMMER STREET,MALDEN,"$960,095.25"
STEVE CORNER,888 SALEM STREET,MALDEN,"$1,085,809.00"
PUMPSY'S LIQUOR,271 HIGHLAND AVENUE,MALDEN,"$1,123,876.75"
BROADWAY MARKET,481 BROADWAY,MALDEN,"$1,132,962.50"
DOCKSIDE SPORTS REST,229 CENTRE ST,MALDEN,"$1,164,017.25"
IN AND OUT CONVENIENCE,463 LEBANON ST,MALDEN,"$1,169,595.00"
7-ELEVEN 26561,169 SALEM ST,MALDEN,"$1,254,534.00"
M & M LIQUORS,619 BROADWAY,MALDEN,"$1,329,826.75"
STOP & SHOP #062,99 CHARLES ST,MALDEN,"$1,451,021.00"
ELMWOOD PHARMACY,299-301 PLEASANT ST,MALDEN,"$1,452,930.25"
OAK GROVE VARIETY,9A GROVE ST,MALDEN,"$1,537,910.50"
SUNNYHURST FARMS,19 LEBANON ST,MALDEN,"$1,797,034.75"
L & M CONVENIENCE,230 FERRY ST,MALDEN,"$1,808,244.50"
SIX TWENTY-ONE TAVERN,621 BROADWAY,MALDEN,"$1,814,965.50"
BROTHERS CONVENIENCE,669 EASTERN AVE,MALDEN,"$1,878,243.75"
ONE STOP MART,33 PLEASANT ST,MALDEN,"$1,966,316.00"
SNAP MART,245 MAIN ST,MALDEN,"$2,169,480.75"
ESSEX FARM,655 SALEM ST,MALDEN,"$2,263,247.25"
LINDEN  CONVENIENCE,455 LYNN STREET,MALDEN,"$2,424,519.25"
HIGHLAND SMOKE SHOP,132 HIGHLAND AVE,MALDEN,"$2,425,420.75"
N & B MARKET,325 HIGHLAND AVE,MALDEN,"$2,438,265.75"
SUPREME FOOD MART,1018 EASTERN AVENUE,MALDEN,"$2,618,844.25"
HARVARD MARKET,229 HIGHLAND AVENUE,MALDEN,"$3,183,830.00"
DANDEA'S SUPERETTE,790 MAIN ST,MALDEN,"$3,747,188.25"
ROBINSONS NEWS,1556 EASTERN AVE,MALDEN,"$5,009,020.25"
CROSSROAD VARIETY,ONE MAIN ST        1A,MANCHAUG,"$796,821.00"
HARRIGAN'S OF MANCHESTER BY THE SEA,40 BEACH STREET,MANCHESTER,$32.00
RICHDALE,8 BEACH ST,MANCHESTER,"$879,109.50"
MARYLOU'S NEWS,755 STATE RD,MANOMET,"$21,587.50"
MAYFLOWER PACKAGE,590 STATE ROAD,MANOMET,"$47,852.75"
CLEMENTS MARKETPLACE,709 STATE ROAD UNIT 120,MANOMET,"$260,091.25"
MONTE CHRISTOS RESTAURANT,745 STATE RD,MANOMET,"$653,755.50"
VILLAGE GENERAL STORE,700 STATE ROAD,MANOMET,"$3,848,416.25"
WINES & MORE-MANSFIELD,280 SCHOOL ST,MANSFIELD,"$5,834.75"
BUFFALO  WILD WINGS,321 SCHOOL STREET,MANSFIELD,"$22,481.50"
SIMPLE AMENITIES,214 RUMFORD AVE UNIT 103,MANSFIELD,"$28,063.00"
MANSFIELD DELI,72 PRATT ST,MANSFIELD,"$64,341.00"
MANSFIELD ELKS,140 N MAIN ST,MANSFIELD,"$67,061.50"
CANAAN FUELS,157 PRATT STREET,MANSFIELD,"$67,291.25"
WINES & MORE-MANSFIELD,280 SCHOOL ST,MANSFIELD,"$103,017.00"
CATMANS CAFE,16 OLD COLONY RD,MANSFIELD,"$242,272.00"
GENO'S RESTAURANT & LOUNGE,407 N MAIN ST,MANSFIELD,"$270,059.50"
ROUTE 106 WINE & SPIRITS,377 CHAUNCY STREET,MANSFIELD,"$271,074.75"
BRISTOL LIQUORS,670 EAST ST,MANSFIELD,"$301,543.25"
SHAWS 431,390 WEST STREET,MANSFIELD,"$647,760.50"
DUB'S  DISCOUNT LIQUORS,30 CHAUNCY ST,MANSFIELD,"$729,452.75"
MANSFIELD XTRA MART,905 SOUTH MAIN ST,MANSFIELD,"$868,528.75"
MANSFIELD SERVICE,189 CHAUNCY ST,MANSFIELD,"$882,359.25"
STOP & SHOP #007,377 CHAUNCY ST,MANSFIELD,"$889,939.25"
7-ELEVEN 40082,70 COPELAND DR,MANSFIELD,"$979,627.50"
7-ELEVEN 37484,242 CHAUNCY ST,MANSFIELD,"$1,011,030.75"
WEST MANSFIELD VARIETY,428 ELM STREET,MANSFIELD,"$1,088,158.00"
CUMBERLAND #0187,30 CHAUNCY ST,MANSFIELD,"$1,239,839.25"
THE STORE,213 SOUTH MAIN ST,MANSFIELD,"$1,291,903.75"
TOWN NEWS & TICKET,165 NO MAIN ST,MANSFIELD,"$1,564,988.75"
FOUR CORNERS CONVENIENCE,4 SO MAIN ST,MANSFIELD,"$1,632,453.50"
FAMILY FOOD MART,660 EAST ST,MANSFIELD,"$1,729,772.00"
VILLAGE LIQUOR STORE,22 BESSOM ST,MARBLEHEAD,"$42,496.00"
HALEY'S,114 WASHINGTON ST,MARBLEHEAD,"$106,203.75"
GERRY 5 VFA,210 BEACON ST,MARBLEHEAD,"$116,313.50"
RIPTIDE LOUNGE INC,116 PLEASANT ST,MARBLEHEAD,"$162,274.00"
BEACH BLUFF LIQUORS,260 HUMPHREY STREET,MARBLEHEAD,"$342,529.25"
7-ELEVEN 32478-A,89 PLEASANT ST,MARBLEHEAD,"$364,178.00"
7-ELEVEN 32478-J,89 PLEASANT ST,MARBLEHEAD,"$412,844.75"
RICHDALE,29 SMITH STREET,MARBLEHEAD,"$1,157,743.75"
MARBLEHEAD VILLAGE MARKET,165 PLEASANT ST,MARBLEHEAD,"$2,170,544.75"
TOP OF THE HILL LIQUORS,311 WAREHAM ROAD (RT6),MARION,"$309,250.75"
CUMBERLAND #2337,406 WAREHAM RT #6,MARION,"$1,070,178.00"
CONVENIENCE FOOD MART,282 E MAIN ST,MARLBORO,"$1,800.00"
MONTI'S MINI MART,274 MAPLE STREET,MARLBORO,"$6,225.50"
A & J GROCERY,68 MECHANIC ST,MARLBORO,"$7,262.00"
PROSPECTER EAST SALOON,520 LINCOLN ST,MARLBORO,"$16,657.00"
MARLBORO FISH/GAME,1 MUDDY LANE,MARLBORO,"$44,798.75"
BRASIL REMESSA,576 BOSTON POST ROAD E,MARLBORO,"$58,914.00"
BOLTON ST LIQUORS,147 BOLTON ST,MARLBORO,"$87,754.00"
NOURIA ENERGY #1182,410 LAKESIDE AVE,MARLBORO,"$96,431.25"
SPERRYS LIQUORS,17 EAST MAIN ST,MARLBORO,"$100,950.50"
FIREFLY'S,350 EAST MAIN ST,MARLBORO,"$106,150.00"
HALFWAY CAFE,820 BOSTON POST RD,MARLBORO,"$140,031.50"
ITALIAN AMERICAN WAR VETERANS,111 NEIL ST,MARLBORO,"$150,243.00"
ANTHONYS LIQUORS,531 LINCOLN ST,MARLBORO,"$165,045.50"
MARLBORO SMOKE SHOP,170 PLEASANT ST,MARLBORO,"$169,557.50"
ALLTOWN FRESH MARLBORO,656 BOSTON POST RD,MARLBORO,"$200,334.75"
THE WESTENDER,493 BOSTON POST RD WEST,MARLBORO,"$226,847.00"
SPEEDWAY #2469,770 BOSTON POST RD,MARLBORO,"$228,440.25"
PETE'S ON THE MAIN,121 MAIN ST,MARLBORO,"$236,599.75"
BOLTON STREET TAVERN,587 BOLTON ST,MARLBORO,"$241,413.00"
MARLBORO WINE & SPIRIT,44 BOSTON POST RD W,MARLBORO,"$290,254.25"
HANNAFORD #8004,193 BOSTON POST RD,MARLBORO,"$342,527.25"
CAPITAL LIQUORS,500 BOSTON POST RD,MARLBORO,"$359,036.25"
HUNTS MOBIL,270 WEST MAIN ST,MARLBORO,"$359,765.75"
MARLBOROUGH GULF,410 LAKESIDE AVE,MARLBORO,"$412,819.25"
GALAXY NEWSSTAND,601 DONALD LYNCH BLVD,MARLBORO,"$415,003.75"
MARLBORO COUNTRY CONV,286 W MAIN ST,MARLBORO,"$455,332.00"
PLAZA LIQUORS,282 E MAIN ST,MARLBORO,"$543,177.00"
SEASONS CORNER MARKET #58,342 POST ROAD,MARLBORO,"$593,065.00"
PRICE CHOPPER #162,240 E MAIN ST,MARLBORO,"$691,741.75"
MARLBOROUGH SHELL,431 LINCOLN ST,MARLBORO,"$812,730.50"
JUMA GROCERY,55 MECHANIC ST,MARLBORO,"$834,232.50"
PLEASANT STREET GENERAL,354 PLEASANT ST,MARLBORO,"$842,335.50"
