Agent Name,Agent Address,Agent City,FY 20 Net Sales
THE DAIRY STORE,335 SUFFIELD ST,AGAWAM,"$2,057,849.50"
CITGO FOOD MART,650 SUFFIELD STREET,AGAWAM,"$2,340,578.75"
Agent Name,Agent Address,Agent City,FY 20 Net Sales
START WIRELESS,483 CAMBRIDGE ST,ALLSTON,$970.00
REGINA PIZZERIA,353 CAMBRIDGE STREET,ALLSTON,"$4,867.00"
SILHOUETTE LOUNGE,200 BRIGHTON AVE,ALLSTON,"$9,234.50"
STARZZONE COMMUNICATIONS,1 BRIGHTON AVENUE #102,ALLSTON,"$33,358.50"
HARVARD CONVENIENCE,157 BRIGHTON AVE,ALLSTON,"$94,839.00"
LEES 2 MARKET,1383 COMMONWEALTH AVE,ALLSTON,"$124,218.25"
LEES 2 MARKET,1383 COMMONWEALTH AVE,ALLSTON,"$188,939.50"
NOURIA ENERGY #1172,198 WESTERN AVENUE,ALLSTON,"$204,152.25"
ALLSTON CAR WASH,434 CAMBRIDGE ST,ALLSTON,"$219,153.25"
QUALITY LIQUORS,489 CAMBRIDGE ST,ALLSTON,"$303,035.00"
SPEEDWAY #2448,100 BRIGHTON AVE,ALLSTON,"$332,632.25"
MAYFAIR FOODS INC,506 CAMBRIDGE ST,ALLSTON,"$372,668.75"
NEIGHBORHOOD MARKET,57 FRANKLIN ST,ALLSTON,"$487,401.00"
ALLSTON CONVENIENCE,165 ALLSTON ST,ALLSTON,"$532,714.25"
STAR MKT 3588,1065 COMM AVE,ALLSTON,"$634,399.75"
ALLSTON GULF,198 WESTERN AVENUE,ALLSTON,"$718,482.50"
ALLSTON MARKET,169 HARVARD AVE,ALLSTON,"$730,234.75"
7-ELEVEN 37526,1227 COMMONWEALTH AVE,ALLSTON,"$769,713.25"
SPEEDWAY #2493,219 CAMBRIDGE ST,ALLSTON,"$849,175.50"
SUNRISE MARKET,152 - 154 BRIGHTON AVE,ALLSTON,"$894,359.75"
STOP & SHOP #089,60 EVERETT ST,ALLSTON,"$935,587.00"
7-ELEVEN 37367,509 CAMBRIDGE ST,ALLSTON,"$1,186,045.50"
VAN'S MINI MART,109 FRANKLIN ST,ALLSTON,"$1,597,763.50"
AMESBURY WINES & LIQUORS,100 MACY STREET,AMESBURY,$959.50
LEARYS FINE WINES,100 MACY STREET,AMESBURY,"$15,211.25"
FORTUNE BAR,10 FRIEND ST,AMESBURY,"$19,597.00"
WANG'S LIQUORS,49 FRIEND ST,AMESBURY,"$43,319.00"
AMESBURY ONE STOP II,23  ROCKY HILL RD,AMESBURY,"$62,042.75"
ROUTE 110 LIQUORS,25 MACY ST,AMESBURY,"$161,203.75"
THE BARN,3-5 RING ST,AMESBURY,"$234,357.00"
A L PRIME ENERGY,63 ELM ST,AMESBURY,"$301,509.00"
YANG MING II RESTAURANT,88 HAVERHILL ROAD,AMESBURY,"$367,819.50"
AMESBURY ONE STOP,108 MACY ST,AMESBURY,"$376,320.25"
STOP & SHOP #499,100 MACY STREET,AMESBURY,"$630,359.75"
FELCO MINI MART,60 HAVERHILL RD,AMESBURY,"$721,302.50"
CIRCLE K #7501,24 ROCKY HILL RD,AMESBURY,"$819,931.50"
CUMBERLAND #6661,132 ELM ST,AMESBURY,"$821,239.00"
VERMETTE'S INC,6 POND ST,AMESBURY,"$1,215,914.25"
CUMBERLAND #6669,241 MAIN ST,AMESBURY,"$1,399,962.00"
RICHDALE,65 FRIEND STREET,AMESBURY,"$2,165,752.25"
SPIRIT HAUS,338 COLLEGE ST,AMHERST,"$19,035.50"
THE SPOKE,35 EAST PLEASANT STREET,AMHERST,"$21,701.00"
UNIVERSITY LIQUORS,6 UNIVERSITY DRIVE SUITE 10,AMHERST,"$26,016.25"
BIG GUY LIQUORS,25 MONTAGUE ST,AMHERST,"$36,802.00"
COUSINS FOOD MARKET,11 EAST PLEASANT STREET,AMHERST,"$74,711.50"
R & P PACKAGE STORE,505 WEST ST,AMHERST,"$345,200.50"
AMHERST MARKET,259 TRIANGLE STREET,AMHERST,"$507,565.25"
BIG Y #46,175 UNIVERSITY DRIVE,AMHERST,"$544,494.00"
NOURIA #4048,399 NORTHAMPTON ST,AMHERST,"$564,299.75"
SPEEDWAY #2419,468 WEST ST,AMHERST,"$580,920.25"
CUMBERLAND #6704,35 BELCHERTOWN RD,AMHERST,"$655,334.50"
